model,granularity,subset,bits,mse,rmse,mae,r2,nz_mae,ny_mae,mse_fp32_table2,mse_baseline_measured,delta_mse_vs_table2,delta_mse_vs_measured,delta_mse_pct_vs_measured,delta_nz_mae_vs_measured,delta_ny_mae_vs_measured,weight_mean_rel_l2_err,weight_max_rel_l2_err,weight_max_abs_err,n_params_quantized,n_tensors_quantized,direction_norm_mean_dev,params,space,n_test_samples,wall_clock_sec,precision,gpu
s4_concat,per_tensor,A,8,10.404666267848828,1.6120625722529685,1.0319000171564432,0.9960398525498194,0.008291427605351098,0.003013706918102714,10.232754160949133,10.21053228048407,0.17191210689969516,0.19413398736475784,1.901311136695747,0.00042828689381883486,7.832392535647367e-07,0.0035841525056495706,0.006542425003503531,0.19307327270507812,32768,8,0.004702621791111619,320645,physical,79829,27.454400300979614,fp32,NVIDIA RTX A4000
s4_concat,per_tensor,A,6,18.31283557261361,2.0999387694171014,1.5183645147759732,0.9950549231912381,0.011273724347000934,0.003606629226459689,10.232754160949133,10.21053228048407,8.080081411664478,8.102303292129541,79.35240856753278,0.0034105836354686708,0.0005937055476105397,0.013950771314605995,0.026904135734718213,0.7815093994140625,32768,8,0.01079775547268042,320645,physical,79829,27.456094980239868,fp32,NVIDIA RTX A4000
s4_concat,per_tensor,A,4,57.67595358734229,3.863758293798014,2.9001141200631304,0.9679831130985164,0.026626357708727504,0.013021433946829418,10.232754160949133,10.21053228048407,47.44319942639316,47.46542130685822,464.8672567010182,0.018763216997195242,0.010008510267980268,0.059882098862442126,0.1108464272694887,3.281787872314453,32768,8,0.020510083618244503,320645,physical,79829,27.460714101791382,fp32,NVIDIA RTX A4000
s4_concat,per_tensor,A,2,13114.230933978717,60.23542154920237,46.55305699487504,-5.191640367503273,0.19268027432674958,0.23197327449016283,10.232754160949133,10.21053228048407,13103.998179817769,13104.020401698233,128338.26916883305,0.18481713361521732,0.2289603508113137,0.36634153435812417,0.7968052712920879,16.4107666015625,32768,8,0.34804212906653703,320645,physical,79829,27.45196008682251,fp32,NVIDIA RTX A4000
s4_concat,per_tensor,B,8,10.225165542804913,1.5989655044271625,1.0144283644762218,0.9960705916767439,0.00787165144976381,0.0030129770353289195,10.232754160949133,10.21053228048407,-0.007588618144220405,0.014633262320842277,0.14331537199888789,8.510738231546841e-06,5.33564797700406e-08,0.0032008172924252324,0.0039019616788007476,0.00745081901550293,16384,4,0.004941699471796922,320645,physical,79829,27.53764033317566,fp32,NVIDIA RTX A4000
s4_concat,per_tensor,B,6,10.211591644266882,1.5981787077853664,1.0151397784182778,0.9960700908355111,0.007958765999583086,0.003010306293532024,10.232754160949133,10.21053228048407,-0.02116251668225111,0.0010593637828115732,0.010375206244990685,9.5625288050823e-05,-2.617385317125326e-06,0.013017672014304616,0.015956737147626746,0.030157029628753662,16384,4,0.004943078486733966,320645,physical,79829,27.486045360565186,fp32,NVIDIA RTX A4000
s4_concat,per_tensor,B,4,10.242510355478954,1.601265395113175,1.0117351054775086,0.9960389864723405,0.008034091223073796,0.003005599402138931,10.232754160949133,10.21053228048407,0.009756194529821016,0.0319780749948837,0.3131871494692307,0.00017095051154153267,-7.3242767102185e-06,0.05453915763588717,0.06670947441856541,0.12663280963897705,16384,4,0.004711906001864428,320645,physical,79829,27.369362115859985,fp32,NVIDIA RTX A4000
s4_concat,per_tensor,B,2,14.901524442889926,1.913330980007655,1.347805978169694,0.9948566816518655,0.010956583033177252,0.004268735080799747,10.232754160949133,10.21053228048407,4.668770281940793,4.6909921624058555,45.94267990682519,0.0030934423216449885,0.0012558114019505977,0.2532083638289241,0.3264137137223631,0.6332792639732361,16384,4,0.01100730187002968,320645,physical,79829,27.49742078781128,fp32,NVIDIA RTX A4000
s4_concat,per_tensor,C,8,10.27227061128589,1.6024469865557467,1.0185140704401676,0.9960602294396091,0.007835726388097727,0.0030289123282948006,10.232754160949133,10.21053228048407,0.0395164503367571,0.061738330801819785,0.6046534020544994,-2.741432343453601e-05,1.5988649445651103e-05,0.009754616896686703,0.011895407816944387,0.009911417961120605,32768,8,0.0049953054640725246,320645,physical,79829,27.97062039375305,fp32,NVIDIA RTX A4000
s4_concat,per_tensor,C,6,10.400407448729508,1.6104851280106793,1.0240970604748336,0.9960764817970217,0.007829634209742226,0.003004271969078369,10.232754160949133,10.21053228048407,0.16765328778037514,0.18987516824543782,1.8596010769032703,-3.350650179003746e-05,-8.651709770780489e-06,0.03927388086106316,0.047274693358667456,0.040115922689437866,32768,8,0.0050502661930980994,320645,physical,79829,27.524256944656372,fp32,NVIDIA RTX A4000
s4_concat,per_tensor,C,4,17.67875314186839,2.0726606905269787,1.4955098539901273,0.9951136589275104,0.009713145182893531,0.004070443182454899,10.232754160949133,10.21053228048407,7.445998980919258,7.468220861384321,73.14232653334562,0.0018500044713612683,0.0010575195036057498,0.16450612994603225,0.19942130524471455,0.168516144156456,32768,8,0.011166866197855039,320645,physical,79829,27.475569486618042,fp32,NVIDIA RTX A4000
